date,price,service,address
2018-10-30,2.99,Gulf,"198 Western Ave, Allston, MA"
2018-10-30,3.17,Shell,"820 Memorial Dr, Cambridge, MA"
2018-10-30,2.85,Broadway Gas,"320 Broadway, Cambridge, MA"
2018-10-30,2.89,Irving,"434 Cambridge St, Allston, MA"
2018-10-30,2.89,Speedway,"100 Brighton Ave, Boston, MA"
2018-10-30,3.15,Mobil,"850 Commonwealth Ave, Boston, MA"
2018-10-30,2.77,Speedway,"287 Prospect St, Cambridge, MA"
2018-10-30,2.79,Junior's Automotive & Gas,"1725 Massachusetts Ave, Cambridge, MA"
2018-10-30,2.89,Irving,"500 Western Ave, Brighton, MA"
2018-10-30,2.98,CITGO,"199 Concord Ave, Cambridge, MA"
2018-10-30,2.93,Sunoco,"454 Harvard St, Boston, MA"
2018-10-30,2.91,Shimon's Service Station,"445 Harvard St, Boston, MA"
2018-10-30,2.97,VIP,"120 N Beacon St, Brighton, MA"
2018-10-30,2.77,Cumberland Farms,"701 Somerville Ave, Somerville, MA"
2018-10-30,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-30,3.19,CITGO,"914 Huntington Ave, Boston, MA"
2018-10-30,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-30,2.91,Stop & Shop,"155 Harvard St, Boston, MA"
2018-10-30,2.91,Mobil,"198 Harvard St, Boston, MA"
2018-10-30,2.73,JP Oil,"525 Centre , Jamaica Plain, MA"
2018-10-30,3.19,Mobil,"345 Boylston St, Boston, MA"
2018-10-30,2.75,Gibbs,"581 Centre St, Jamaica Plain, MA"
2018-10-30,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-30,3.15,Mobil,"850 Commonwealth Ave, Boston, MA"
2018-10-30,2.65,Hatoff's,"3440 Washington St, Jamaica Plain, MA"
2018-10-30,2.91,Shimon's Service Station,"445 Harvard St, Boston, MA"
2018-10-30,2.93,Sunoco,"454 Harvard St, Boston, MA"
2018-10-30,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-30,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-30,3.19,Mobil,"273 E Berkeley St, Boston, MA"
2018-10-30,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-30,2.73,Stop & Shop,"1100 Massachusetts Ave., Dorchester, MA"
2018-10-30,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-30,2.89,Gulf,"888 Dorchester Ave, Dorchester, MA"
2018-10-30,2.73,Speedway,"874 Dorchester Ave, Dorchester, MA"
2018-10-30,3.19,Shell,"1600 Tremont St, Boston, MA"
2018-10-30,3.19,CITGO,"914 Huntington Ave, Boston, MA"
2018-10-31,3.31,Shell,"52 Meridian St, East Boston, MA"
2018-10-31,3.19,Mobil,"273 E Berkeley St, Boston, MA"
2018-10-31,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-31,3.09,Gulf,"100 Service Rd, East Boston, MA"
2018-10-31,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-31,2.79,Mutual,"16 Medford St, Somerville, MA"
2018-10-31,2.79,Speedway,"123 Cambridge St, Charlestown, MA"
2018-10-31,2.99,Mobil,"396 Chelsea St, East Boston, MA"
2018-10-31,2.99,BP,"331 Bennington St, East Boston, MA"
2018-10-31,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,2.79,Greg's Service Center,"51 Park St, Chelsea, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,3.19,Shell,"1600 Tremont St, Boston, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,3.15,Mobil,"850 Commonwealth Ave, Boston, MA"
2018-10-31,3.19,CITGO,"914 Huntington Ave, Boston, MA"
2018-10-31,2.91,Mobil,"198 Harvard St, Boston, MA"
2018-10-31,2.91,Stop & Shop,"155 Harvard St, Boston, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,2.79,JP Auto Service,"429 Centre St, Boston, MA"
2018-10-31,3.19,Mobil,"273 E Berkeley St, Boston, MA"
2018-10-31,2.91,Shimon's Service Station,"445 Harvard St, Boston, MA"
2018-10-31,2.93,Sunoco,"454 Harvard St, Boston, MA"
2018-10-31,2.99,Mobil,"816 Memorial Dr, Cambridge, MA"
2018-10-31,3.19,Mobil,"345 Boylston St, Boston, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,3.19,Shell,"1600 Tremont St, Boston, MA"
2018-10-31,2.91,Mobil,"198 Harvard St, Boston, MA"
2018-10-31,2.99,Mobil,"816 Memorial Dr, Cambridge, MA"
2018-10-31,2.91,Stop & Shop,"155 Harvard St, Boston, MA"
2018-10-31,2.99,Shell,"820 Memorial Dr, Cambridge, MA"
2018-10-31,2.91,Shimon's Service Station,"445 Harvard St, Boston, MA"
2018-10-31,2.93,Sunoco,"454 Harvard St, Boston, MA"
2018-10-31,2.91,Shimon's Service Station,"445 Harvard St, Boston, MA"
2018-10-31,2.89,Speedway,"100 Brighton Ave, Boston, MA"
2018-10-31,2.85,Broadway Gas,"320 Broadway, Cambridge, MA"
2018-10-31,2.89,Irving,"434 Cambridge St, Allston, MA"
2018-10-31,3.19,Mobil,"345 Boylston St, Boston, MA"
2018-10-31,3.19,Mobil,"273 E Berkeley St, Boston, MA"
2018-10-31,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-31,3.19,Shell,"1 Rutherford Ave, Charlestown, MA"
2018-10-31,2.73,Stop & Shop,"1100 Massachusetts Ave., Dorchester, MA"
2018-10-31,2.79,Mutual,"16 Medford St, Somerville, MA"
2018-10-31,3.19,Shell,"1600 Tremont St, Boston, MA"
2018-10-31,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-31,2.85,Broadway Gas,"320 Broadway, Cambridge, MA"
2018-10-31,2.77,Speedway,"287 Prospect St, Cambridge, MA"
2018-10-31,3.15,Mobil,"850 Commonwealth Ave, Boston, MA"
2018-10-31,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-31,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-31,3.19,Shell,"1 Rutherford Ave, Charlestown, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,3.31,Shell,"52 Meridian St, East Boston, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,2.73,Stop & Shop,"1100 Massachusetts Ave., Dorchester, MA"
2018-10-31,2.79,Mutual,"16 Medford St, Somerville, MA"
2018-10-31,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-31,2.73,Speedway,"874 Dorchester Ave, Dorchester, MA"
2018-10-31,3.09,Gulf,"100 Service Rd, East Boston, MA"
2018-10-31,3.19,Mobil,"273 E Berkeley St, Boston, MA"
2018-10-31,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-31,3.31,Shell,"52 Meridian St, East Boston, MA"
2018-10-31,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-31,2.79,Mutual,"16 Medford St, Somerville, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-31,2.79,Speedway,"123 Cambridge St, Charlestown, MA"
2018-10-31,2.77,Speedway,"287 Prospect St, Cambridge, MA"
2018-10-31,2.85,Broadway Gas,"320 Broadway, Cambridge, MA"
2018-10-31,2.99,Gulf,"79 W Broadway, South Boston, MA"
2018-10-31,2.69,Speedway,"151 Old Colony Ave, South Boston, MA"
2018-10-31,2.99,Alltown,"85 Southampton St, Roxbury, MA"
2018-10-31,3.19,Shell,"1 Rutherford Ave, Charlestown, MA"
2018-10-31,2.73,Stop & Shop,"1100 Massachusetts Ave., Dorchester, MA"
2018-10-31,3.19,Shell,"1241 Boylston St, Boston, MA"
2018-10-31,3.31,Shell,"52 Meridian St, East Boston, MA"
2018-10-31,2.73,Speedway,"874 Dorchester Ave, Dorchester, MA"
2018-10-31,2.79,Mutual,"16 Medford St, Somerville, MA"
2018-10-31,3.19,Shell,"1001 Cambridge St, Cambridge, MA"
2018-10-31,3.09,Gulf,"100 Service Rd, East Boston, MA"
2018-10-31,2.99,Mobil,"816 Memorial Dr, Cambridge, MA"
