date,price,service,address
2018-10-30,2.94,Cenex,"8014 S Frontage Rd, Billings, MT"
2018-10-30,2.79,Costco,"2290 King Ave W, Billings, MT"
2018-10-30,2.92,Holiday,"785 S 20th St W, Billings, MT"
2018-10-30,2.92,Cenex,"1544 Broadwater Ave, Billings, MT"
2018-10-30,2.99,Conoco,"1225 Mullowney Ln, Billings, MT"
2018-10-31,3.02,Holiday,"403 Russell St S, Missoula, MT"
2018-10-31,2.99,Conoco,"2105 S Higgins Ave, Missoula, MT"
2018-10-31,2.99,Conoco,"1600 S Russell St , Missoula, MT"
2018-10-31,2.99,Conoco,"2001 Brooks St, Missoula, MT"
2018-10-31,3.02,Sinclair,"1900 South Ave W, Missoula, MT"
2018-10-31,3.19,Gary's Full Service,"2125 S Higgins Ave, Missoula, MT"
2018-10-31,2.99,Conoco,"2401 S Higgins Ave, Missoula, MT"
2018-10-31,2.99,Exxon,"318 S Orange St   , Missoula, MT"
2018-10-31,2.99,Holiday,"605 S Higgins Ave, Missoula, MT"
2018-10-31,2.99,Conoco,"2730 S Reserve St , Missoula, MT"
2018-10-31,2.99,Holiday,"2325 S Reserve St, Missoula, MT"
2018-10-31,3.02,Sinclair,"1250 39th St, Missoula, MT"
2018-10-31,3.04,Missoula Fresh Market ,"900 W Broadway St, Missoula, MT"
2018-10-31,3.02,Cenex,"1540 Toole Ave, Missoula, MT"
2018-10-31,3.02,Sinclair,"540 E Broadway St, Missoula, MT"
2018-10-31,2.99,Conoco,"711 E Broadway St, Missoula, MT"
2018-10-31,3.02,Cenex,"903 N Russell St, Missoula, MT"
2018-10-31,2.89,Holiday,"1020 15th St N, Great Falls, MT"
2018-10-31,2.89,Loaf 'N Jug,"900 1st Ave N, Great Falls, MT"
2018-10-31,2.85,Cenex,"625 1st Ave N, Great Falls, MT"
2018-10-31,2.93,Carl's Auto Care,"2300 10th Ave S, Great Falls, MT"
2018-10-31,2.89,Holiday,"2260 10th Ave S, Great Falls, MT"
2018-10-31,2.89,Sinclair,"3200 10th Ave S, Great Falls, MT"
2018-10-31,2.89,Holiday,"1428 3rd St NW, Great Falls, MT"
2018-10-31,2.92,Cenex,"1544 Broadwater Ave, Billings, MT"
2018-10-31,2.92,Phillips 66,"2344 Central Ave, Billings, MT"
2018-10-31,2.92,Conoco,"2343 Central Ave, Billings, MT"
2018-10-31,2.95,GM Distributors,"275 Daniel St, Billings, MT"
2018-10-31,2.92,Cenex,"1201 Central Ave, Billings, MT"
2018-10-31,2.92,Cenex,"2975 Grand Ave, Billings, MT"
2018-10-31,2.92,Holiday,"785 S 20th St W, Billings, MT"
2018-10-31,2.79,Costco,"2290 King Ave W, Billings, MT"
2018-10-31,2.92,Mobil,"858 S 29th St W, Billings, MT"
2018-10-31,2.92,Exxon,"3443 Central Ave, Billings, MT"
2018-10-31,2.92,Holiday,"3226 Rosebud Dr, Billings, MT"
2018-10-31,2.95,Liberty,"3189 King Ave W, Billings, MT"
2018-10-31,2.92,Conoco,"3150 King Ave W, Billings, MT"
2018-10-31,2.99,Conoco,"1225 Mullowney Ln, Billings, MT"
2018-10-31,2.89,Loaf 'N Jug,"900 1st Ave N, Great Falls, MT"
2018-10-31,2.89,Holiday,"1428 3rd St NW, Great Falls, MT"
2018-10-31,2.85,Cenex,"625 1st Ave N, Great Falls, MT"
2018-10-31,2.84,Sam's Club,"401 Northwest Byp, Great Falls, MT"
2018-10-31,2.89,Conoco,"505 Northwest Byp, Great Falls, MT"
2018-10-31,2.89,Holiday,"601 Northwest Byp , Great Falls, MT"
2018-10-31,2.93,Carl's Auto Care,"2300 10th Ave S, Great Falls, MT"
2018-10-31,2.89,Holiday,"2260 10th Ave S, Great Falls, MT"
2018-10-31,3.02,Sinclair,"540 E Broadway St, Missoula, MT"
2018-10-31,2.99,Cenex,"980 E Broadway St, Missoula, MT"
2018-10-31,3.05,Conoco,"923 N Orange St, Missoula, MT"
